"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"264","MPO","S100A4","MPO.S100A4",0.255729159913101
"265","MPO","TFAP2C","MPO.TFAP2C",0.255729159913101
"266","MPO","LRRC32","MPO.LRRC32",0.255729159913101
"267","MPO","MAPK9","MPO.MAPK9",0.255729159913101
"268","MPO","KIT","MPO.KIT",0.255729159913101
"269","MPO","NKX3.1","MPO.NKX3.1",0.255729159913101
"270","MPO","MOS","MPO.MOS",0.255729159913101
"271","MPO","FLT1","MPO.FLT1",0.255729159913101
"272","MPO","GPC3","MPO.GPC3",0.255729159913101
"273","MPO","NR2F6","MPO.NR2F6",0.255729159913101
"274","MPO","CSF3","MPO.CSF3",0.255729159913101
"275","MPO","PTHLH","MPO.PTHLH",0.255729159913101
"276","MPO","CHGA","MPO.CHGA",0.255729159913101
"277","MPO","BMP3","MPO.BMP3",0.255729159913101
"278","MPO","PODXL","MPO.PODXL",0.255729159913101
"279","MPO","MMP7","MPO.MMP7",0.255729159913101
"280","MPO","GSTM1","MPO.GSTM1",0.255729159913101
"281","MPO","IL6","MPO.IL6",0.255729159913101
"282","MPO","AXL","MPO.AXL",0.255729159913101
"283","MPO","IRF5","MPO.IRF5",0.255729159913101
"284","MPO","EFNB3","MPO.EFNB3",0.255729159913101
"285","MPO","TUSC3","MPO.TUSC3",0.255729159913101
"286","MPO","PTPRH","MPO.PTPRH",0.255729159913101
"287","MPO","PDE1B","MPO.PDE1B",0.255729159913101
"288","MPO","NAT2","MPO.NAT2",0.255729159913101
"289","MPO","PGR","MPO.PGR",0.255729159913101
"290","MPO","F2R","MPO.F2R",0.255729159913101
"291","MPO","TGFB2","MPO.TGFB2",0.255729159913101
"292","MPO","PTK6","MPO.PTK6",0.255729159913101
"293","MPO","IL12B","MPO.IL12B",0.255729159913101
"294","MPO","PAX6","MPO.PAX6",0.255729159913101
"295","MPO","ABCG2","MPO.ABCG2",0.255729159913101
"296","MPO","MYH11","MPO.MYH11",0.255729159913101
"297","MPO","HDAC5","MPO.HDAC5",0.255729159913101
"298","MPO","BMP6","MPO.BMP6",0.255729159913101
"299","MPO","IL10","MPO.IL10",0.255729159913101
"300","MPO","IL4","MPO.IL4",0.255729159913101
"301","MPO","EGFR","MPO.EGFR",0.255729159913101
"302","MPO","DAB2","MPO.DAB2",0.255729159913101
"303","MPO","ZMYND10","MPO.ZMYND10",0.255729159913101
"304","MPO","LCN2","MPO.LCN2",0.255729159913101
"305","MPO","BCL2A1","MPO.BCL2A1",0.255729159913101
"306","MPO","COL6A1","MPO.COL6A1",0.255729159913101
"307","MPO","EPHB1","MPO.EPHB1",0.255729159913101
"308","MPO","ELK3","MPO.ELK3",0.255729159913101
"309","MPO","TNFRSF1A","MPO.TNFRSF1A",0.255729159913101
"310","MPO","EPHB4","MPO.EPHB4",0.255729159913101
"311","MPO","NOS3","MPO.NOS3",0.255729159913101
"312","MPO","PXN","MPO.PXN",0.255729159913101
"313","MPO","DST","MPO.DST",0.255729159913101
"314","MPO","FGFR2","MPO.FGFR2",0.255729159913101
"315","MPO","TGFB1","MPO.TGFB1",0.255729159913101
"316","MPO","FER","MPO.FER",0.255729159913101
"317","MPO","MMP1","MPO.MMP1",0.255729159913101
"318","MPO","GRPR","MPO.GRPR",0.255729159913101
"319","MPO","MME","MPO.MME",0.255729159913101
"320","MPO","PTGS1","MPO.PTGS1",0.255729159913101
"321","MPO","PTPN6","MPO.PTPN6",0.255729159913101
"322","MPO","CDC25B","MPO.CDC25B",0.255729159913101
"323","MPO","PPARG","MPO.PPARG",0.255729159913101
"324","MPO","GABRA5","MPO.GABRA5",0.255729159913101
"325","MPO","RAD50","MPO.RAD50",0.255729159913101
"326","MPO","ACVR1B","MPO.ACVR1B",0.255729159913101
"327","MPO","SHH","MPO.SHH",0.255729159913101
"328","MPO","PLXDC2","MPO.PLXDC2",0.255729159913101
"329","MPO","DDR1","MPO.DDR1",0.255729159913101
"330","MPO","MYB","MPO.MYB",0.255729159913101
"331","MPO","MLLT6","MPO.MLLT6",0.255729159913101
"332","MPO","TNFRSF10B","MPO.TNFRSF10B",0.255729159913101
"333","MPO","ETS1","MPO.ETS1",0.255729159913101
"334","MPO","SMARCB1","MPO.SMARCB1",0.255729159913101
"335","MPO","DSC2","MPO.DSC2",0.255729159913101
"336","MPO","LRP2","MPO.LRP2",0.255729159913101
"337","MPO","IL2","MPO.IL2",0.255729159913101
"338","MPO","FABP3","MPO.FABP3",0.255729159913101
"339","MPO","TYRO3","MPO.TYRO3",0.255729159913101
"340","MPO","KIAA0125","MPO.KIAA0125",0.255729159913101
"341","MPO","APP","MPO.APP",0.255729159913101
"342","MPO","X5.Sep","MPO.X5.Sep",0.255729159913101
"343","MPO","EPHA7","MPO.EPHA7",0.255729159913101
"344","MPO","RAP1A","MPO.RAP1A",0.255729159913101
"345","MPO","SKI","MPO.SKI",0.255729159913101
