,ABI1,ACSL3,ATF1,ATIC,BTG1,CASP8,CBFB,CDC73,CHIC2,CHN1,CLTC,CREB1,CTNNB1,DDX5,ERCC4,EXT2,FH,GPHN,H3F3B,HERPUD1,IDH1,MAP2K4,MAX,MLF1,MLH1,MLLT10,NCOA4,NFE2L2,NRAS,PMS2,POT1,PRKAR1A,RAF1,RAP1GDS1,SDHB,SDHC,TCEA1,TFG,TP53,XPC,YWHAE,ABL1,BRD3,NUP214,RALGDS,SET,TSC1,ABL2,AKT1,ARNT,BCR,CARS,CHEK2,CNOT3,DDIT3,DICER1,ERBB2,ERCC2,GOLGA5,HRAS,KRAS,LASP1,MYH9,NF1,NF2,NUP98,PDE4DIP,PPP2R1A,RAC1,RB1,SMARCB1,STAT3,STAT5B,TFPT,TRIP11,AKAP9,ALK,ARHGEF12,ARID1A,ASXL1,ATP1A1,ATRX,AXIN1,BCL9,BRD4,CIC,CREBBP,DNM2,EP300,EPS15,ERCC5,EVI1,HIP1,JAK1,KTN1,MDM4,MDS1,MED12,MLL,MYST4,NCOA1,NOTCH2,NSD1,PAX8,PBRM1,PCM1,PCSK7,RBM15,RNF43,SETD2,SMARCA4,SRGAP3,STAG2,TCF12,TCF3,TCF7L2,TRIM33,TRRAP,TSC2,USP6,WRN,ZRSR2,AKT2,ATP2B3,CACNA1D,CBFA2T3,CBL,CDK6,CDX2,DDX6,FANCA,FEV,FLT3,GATA2,GATA3,HIST1H4I,HOXA11,HOXA9,HOXC11,HOXC13,HOXD11,HOXD13,JAK3,KCNJ5,KLK2,LMO1,MDM2,MPL,NTRK3,OLIG2,PAX3,PAX5,PAX7,PHOX2B,PRDM16,RET,ROS1,SSX1,SSX2,TCL6,TLX1,TLX3,TPM3,TSHR,ALDH2,APC,BCL10,BCL2,CEBPA,CREB3L2,CYLD,DDB2,EGFR,FOXL2,FVT1,GAS7,HLF,IL6ST,JAK2,JUN,KDR,KLF4,LMO2,LPP,MAF,MALT1,MET,MITF,MYD88,NOTCH1,NR4A3,PER1,PIK3R1,PIM1,PPARG,RANBP17,SDC4,SOX2,TFE3,XPA,ZNF331,ASPSCR1,BAP1,BCL11A,CALR,CANT1,DAXX,DEK,FANCE,FANCF,FHIT,H3F3A,HMGA1,MEN1,MLLT3,MUTYH,MYB,MYCL1,PALB2,PBX1,TRIM27,ATM,BMPR1A,CAMTA1,CCDC6,CDH1,FGFR2,FUBP1,GNAQ,MLLT4,NCOA2,NT5C2,NUMA1,PICALM,PIK3CA,PTEN,SFPQ,SS18,TBL1XR1,THRAP3,TMPRSS2,BCL11B,BCL7A,CCNB1IP1,CCND1,CCND2,CHCHD7,ETV4,ETV5,FGFR1,FGFR3,GNAS,GPC3,HEY1,HMGA2,KIT,MYCN,PLAG1,RAD51L1,X6.Sep,SETBP1,SMO,SS18L1,WHSC1L1,WIF1,ZNF384,BCL3,BIRC3,CBLB,CCND3,CD74,CIITA,CSF3R,ELF4,ETV6,FNBP1,LYL1,MSN,MTCP1,MUC1,NFKB2,PML,REL,SLC34A2,TFEB,TNFAIP3,TNFRSF14,WAS,BCL6,BLM,BRCA2,BUB1B,CCNE1,CDKN2A,CDKN2C,EZH2,FANCC,FANCG,NFIB,RECQL4,SYK,WT1,BCOR,EWSR1,FBXW7,FIP1L1,FUS,HNRNPA2B1,KIF5B,PRCC,PTPN11,TAF15,TOP1,TPR,U2AF1,WHSC1,BRAF,CBLC,COX6C,CRTC3,ELK4,ELL,EXT1,FAM46C,FGFR1OP,GMPS,HIST1H3B,IDH2,LIFR,MAP2K1,NDRG1,PAFAH1B2,RAD21,RPN1,SOCS1,TFRC,TPM4,UBR5,WWTR1,BRCA1,BRIP1,C2orf44,CDK4,DNMT3A,EML4,ERCC3,FBXO11,MSH2,MSH6,NONO,PMS1,SF3B1,SFRS3,SMARCE1,SUZ12,XPO1,CD79A,CD79B,IRF4,POU2AF1,PRDM1,TCL1A,TNFRSF17,CDH11,COL1A1,CREB3L1,ELN,ERG,ETV1,LHFP,MN1,MYH11,OMD,PDGFRA,PDGFRB,CLTCL1,FSTL3,GNA11,MAP2K2,MKL1,PDGFB,RARA,RUNX1,SH3GL1,STK11,DDX10,EIF4A2,MYC,NACA,NPM1,RPL10,RPL22,RPL5,SDHD,DUX4,GATA1,IL2,MLLT1,NTRK1,TAL1,TERT,FCGR2B,FLI1,IKZF1,IL21R,IL7R,ITK,LCK,LCP1,MAFB,PRF1,PTPRC,SH2B3
COL1A2,0,0,-0.0077097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047133,0,0,0,0.0047843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0083422,0,0,0,0,0,0,0,-0.0034202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0035891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074978,0,0,0,0,0,0,0,0,0,0,0,0.0063194,0,0,0,0,0,0,0,0,0.045148,0,0,0,0,0,0,0,0,0,0,0,0,-0.018678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045586,0,0,0,0,0.022127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00039425,0,-0.01454,0,-0.025664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067317,0,0,0,0,0.014099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPA2,0,0,0,0,0,0,0,0,0,0,0,0,0.020107,0,0,0,0,0,0,0,0.0071445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026599,0.032879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030952,0,0,-0.016546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030374,0,0,0,0,0,-0.0038589,-0.029735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02166,0,0,0,0,0.017531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033443,0,0,0,0,-0.018364,0,0,0,0,0,0,0,0,0,-0.014114,0,0,0,-0.04836,0,0,0,0,0,0,0,0,0,0.01189,0,0,0,0.0081386,0,0.0027153,0,0,0,0,0,0,0,0.01892,0.026212,0.01164,0,0.0126,0,0,0,0,0,0,-0.017689,0,0,0,0,0,0,0,0,-0.0048134,0,0,0,0,0,0,0,0,0,0,0,0.03088,0,0,0,0,0,0,0,0.076831,0,0,0,0,0,0,0.0073393,0,0,0.0060705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017565,0,0.017118,0,0,0,0,0.0072162,0,0,0,0,0,0.0074467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01304,0,0,0,0,0,0,0,0,0,0,0,0,0.026748,0,-0.013686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02637,0,0,0.010955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPHA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052681,0,0,0,0.01484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017367,0,0.025013,0,0,0,0,0,0,0,0.011497,0,0,0,0,0,0,0,0.0063672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXA5,0,0,0,0,0,-0.0063156,0.01647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020235,0.0063924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010737,0,0,0,0,0,0,0,-0.0042613,0,0,0,0,-0.0077285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0074856,0,0,0,0,0,-0.0083161,0,0,0,0,0,-0.0062027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023415,0,0,0.018535,0,0,0,-0.018331,0,0,0,0.064577,0.004037,-0.017079,0.23187,0.14422,0,0,0,0,-0.013904,-0.01781,0,0,-0.05817,0,0,0,0,0,0,0,0,0,0,0,0,-0.011012,0,-0.011342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037528,0,0,0.018291,0,0,0,0,0,0,0,0.00088123,0,0,0,0,0,0,0,0,0,0,-0.00038811,0,0,0.010623,0.018971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034958,0,0,0,0.050553,0,0.028886,0,0.033827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082753,0.028915,0,0,0,0,0,0,0.010978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF12,0,0,0,0,0,0,0,0,0,0,0,0.014514,0.0066751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062998,0,0,0,0,0,0,0,0.028468,0,0,0,0,0,0,0,0,0,0,0,-0.0051323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0027015,0,0,0,0,0,0,0,0,0,0,0.018693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016474,-0.0048149,0,-0.020067,0,0,0,0,0,0,0,0,0,0,0,0,0.038056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047913,-0.016112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0067687,0,0,0,0,0,0,0,0,-0.033634,0,0,-0.033676,0,0,-0.003392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0034207,0,0,0,0,0,0,0.012789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011111,0,0,0.013651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0045251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02274,0,0,0,0,0,0.0025013,0,0,0,0,0,0,0.00796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0095849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNAS,0,0,0,0,0,0,0,-0.014099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068856,0,0,0,0,0,0,0,-0.0036079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046412,-0.026564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028346,0,0,0,0.0066215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011964,0,0,0,0.022176,0,0,0,0.034931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028484,0.019263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795,0,0.0017112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015023,0.016231,0,-0.0089856,0,0,0,0,0,0,0,0.032375,0,0,0,0,0,0,0,0,0,0,0,-0.024269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0019328,-0.029859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0024504,0,0,0,0,0,0,0,0,-0.023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0055488,0,0,0.019654,0,0,0.028938,0,0,0,0,0,0,0,0,-0.0082337,0,0,0,-0.025883,0,0,0,-0.023337,0,-0.012344,0,0,0,0,0,0,0,0,0.0071855,0,0,0,0,0,0.011233,0,0,0,0,0,0,0,0.010421,0,0,0,0,0,0.076925,0,0.0020972,0.0080925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017514,0,0,0,0,0,0,0,0,0,0,0,0,0.062962,0.015367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDN,0,0,0,0,0,0,0,0,-0.019797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041187,0,0,0.031183,0,0,0,0,0.036013,0,0,0.011705,0,0,0,0,0,0.023845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025325,0,0,0.021412,0.054818,0,0,0,0,0,0,0,0.020232,0,0,0,0,0,0,0.010115,0,0,0,0,0,0,0.021045,0,0,0,0.026866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003691,0,0,0,0,0,0,0,0,0,0,0.00048126,0,0,0,0,0,0,0,0,0,0,-0.018833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045543,0.041464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025538,0,0,0.025184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068973,0,0,0,0,0,0,0,0,0,0,0,-0.018498,0,0.013019,0,0.010023,0,0.0070738,0,0,0,0,0,0,0,0,0,0,0.019118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043244,0,0,0,0.038566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH3BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
