"Finalmethynames","Finalmethy1names","Finalgenenames","Finalsimilarityvalues"
"149","IGFBP6","L1CAM","IGFBP6.L1CAM",1
"150","IGFBP6","COL6A1","IGFBP6.COL6A1",1
"151","IGFBP6","EPHB1","IGFBP6.EPHB1",1
"152","IGFBP6","ELK3","IGFBP6.ELK3",1
"153","IGFBP6","CDH11","IGFBP6.CDH11",1
"154","IGFBP6","TNFRSF1A","IGFBP6.TNFRSF1A",1
"155","IGFBP6","EPHB4","IGFBP6.EPHB4",1
"156","IGFBP6","PXN","IGFBP6.PXN",1
"157","IGFBP6","TNFRSF10D","IGFBP6.TNFRSF10D",1
"158","IGFBP6","PTK2","IGFBP6.PTK2",1
"159","IGFBP6","YES1","IGFBP6.YES1",1
"160","IGFBP6","FGF5","IGFBP6.FGF5",1
"161","IGFBP6","MAP2K6","IGFBP6.MAP2K6",1
"162","IGFBP6","FER","IGFBP6.FER",1
"163","IGFBP6","HSD17B12","IGFBP6.HSD17B12",1
"164","IGFBP6","GRPR","IGFBP6.GRPR",1
"165","IGFBP6","SERPINE1","IGFBP6.SERPINE1",1
"166","IGFBP6","JUNB","IGFBP6.JUNB",1
"167","IGFBP6","LOX","IGFBP6.LOX",1
"168","IGFBP6","PPARG","IGFBP6.PPARG",1
"169","IGFBP6","RAD50","IGFBP6.RAD50",1
"170","IGFBP6","ACVR1B","IGFBP6.ACVR1B",1
"171","IGFBP6","SHH","IGFBP6.SHH",1
"172","IGFBP6","EPHB6","IGFBP6.EPHB6",1
"173","IGFBP6","ABL1","IGFBP6.ABL1",1
"174","IGFBP6","MYB","IGFBP6.MYB",1
"175","IGFBP6","XRCC1","IGFBP6.XRCC1",1
"176","IGFBP6","MCC","IGFBP6.MCC",1
"177","IGFBP6","ETS1","IGFBP6.ETS1",1
"178","IGFBP6","TES","IGFBP6.TES",1
"179","IGFBP6","SMARCB1","IGFBP6.SMARCB1",1
"180","IGFBP6","LRP2","IGFBP6.LRP2",1
"181","IGFBP6","GLI3","IGFBP6.GLI3",1
"182","IGFBP6","DSP","IGFBP6.DSP",1
"183","IGFBP6","EPM2A","IGFBP6.EPM2A",1
"184","IGFBP6","FABP3","IGFBP6.FABP3",1
"185","IGFBP6","TYRO3","IGFBP6.TYRO3",1
"186","IGFBP6","EPHB3","IGFBP6.EPHB3",1
"187","IGFBP6","ITGA2","IGFBP6.ITGA2",1
"188","IGFBP6","PCDH1","IGFBP6.PCDH1",1
"189","IGFBP6","RYK","IGFBP6.RYK",1
"190","IGFBP6","EPHA7","IGFBP6.EPHA7",1
"191","IGFBP6","APBA1","IGFBP6.APBA1",1
"192","IGFBP6","RAP1A","IGFBP6.RAP1A",1
"193","IGFBP6","MMP10","IGFBP6.MMP10",1
"194","IGFBP6","TRAF4","IGFBP6.TRAF4",1
"195","IGFBP6","FYN","IGFBP6.FYN",1
"196","IGFBP6","BCR","IGFBP6.BCR",1
"197","IGFBP6","TJP1","IGFBP6.TJP1",1
"198","IGFBP6","HLA.DOA","IGFBP6.HLA.DOA",1
"199","IGFBP6","PPARD","IGFBP6.PPARD",1
"200","IGFBP6","PDGFA","IGFBP6.PDGFA",1
"201","IGFBP6","ITGA6","IGFBP6.ITGA6",1
"202","IGFBP6","CDKN1A","IGFBP6.CDKN1A",1
"203","IGFBP6","MAP3K8","IGFBP6.MAP3K8",1
"204","IGFBP6","IL12A","IGFBP6.IL12A",1
"205","IGFBP6","STK11","IGFBP6.STK11",1
"206","IGFBP6","HPSE","IGFBP6.HPSE",1
"207","IGFBP6","GADD45A","IGFBP6.GADD45A",1
"208","IGFBP6","NEU1","IGFBP6.NEU1",1
"209","IGFBP6","CTGF","IGFBP6.CTGF",1
"210","IGFBP6","LMO1","IGFBP6.LMO1",1
"211","IGFBP6","MBD2","IGFBP6.MBD2",1
"212","IGFBP6","MTA1","IGFBP6.MTA1",1
"213","IGFBP6","ZNF215","IGFBP6.ZNF215",1
"214","IGFBP6","TM7SF3","IGFBP6.TM7SF3",1
"215","IGFBP6","SMARCA4","IGFBP6.SMARCA4",1
"216","IGFBP6","WEE1","IGFBP6.WEE1",1
"217","IGFBP6","CTNNB1","IGFBP6.CTNNB1",1
"218","IGFBP6","EIF2AK2","IGFBP6.EIF2AK2",1
"219","IGFBP6","NFKB2","IGFBP6.NFKB2",1
"220","IGFBP6","VIM","IGFBP6.VIM",1
"221","IGFBP6","FGFR3","IGFBP6.FGFR3",1
"222","IGFBP6","MLH3","IGFBP6.MLH3",1
"223","IGFBP6","TYK2","IGFBP6.TYK2",1
"224","IGFBP6","GATA6","IGFBP6.GATA6",1
"225","IGFBP6","SEMA3A","IGFBP6.SEMA3A",1
"226","IGFBP6","BCL3","IGFBP6.BCL3",1
"227","IGFBP6","BAX","IGFBP6.BAX",1
"228","IGFBP6","NFKB1","IGFBP6.NFKB1",1
"229","IGFBP6","ETS2","IGFBP6.ETS2",1
"230","PI3","PENK","PI3.PENK",1
"231","PI3","EPO","PI3.EPO",1
"232","PI3","ONECUT2","PI3.ONECUT2",1
"233","PI3","PRKCDBP","PI3.PRKCDBP",1
"234","PI3","TWIST1","PI3.TWIST1",1
"235","PI3","IFNGR2","PI3.IFNGR2",1
"236","PI3","ISL1","PI3.ISL1",1
"237","PI3","FLT4","PI3.FLT4",1
"238","PI3","MUC1","PI3.MUC1",1
"239","PI3","CD2","PI3.CD2",1
"240","PI3","GNMT","PI3.GNMT",1
"241","PI3","SOX17","PI3.SOX17",1
"242","PI3","WNT2","PI3.WNT2",1
"243","PI3","GALR1","PI3.GALR1",1
"244","PI3","MYOD1","PI3.MYOD1",1
"245","PI3","PHLDA2","PI3.PHLDA2",1
"246","PI3","COL1A2","PI3.COL1A2",1
"247","PI3","SFRP1","PI3.SFRP1",1
